# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use () for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant , sound file,
K, (k)ilo, #FFC040, kilo.png, kilo.ogg, k.ogg,  i i    e e    a   a e e \ a  a a   a a a a a  a  a a\e  ca a   a a  a  a      e \e          e  ee    a e \ a  a a        a  a  a a de\ a a  E      de  ia e   i a \ e e   a  a  i a    a  i a \ di  a ea a         i a \   a    i a     a iga  de\ e    a    a e  a  a ada \   a da   a e       \   i  a ea e  e   a e \(K)i(k)a c  e (k)i i  E  (k)i i\ e a    (k)i    A  e \a  e    dij  e  h  b e\a  b      E  fa  a  a\e  a e   a f e  e  E \fa  a  a a      a Fide  \A e    ca e   i  f    \ a a c     i a  a  a\ a a a  E  i  e   ie e\e   a  e e de   e     e\ e  e de e   a e   i a \ a e a  a c    ei  e\ e a    e   a    aci  \    a e   i        e\dej   a   a e e  e \b   i     E   a a e  \ ie e  a a i  a  a   e  \ a    iaj  a    a c  \   a  J  i    Jai e\j ega  c   e  c  ej  
L, (l)oro, #00A0FF, loro.png, loro.ogg, l.ogg,  i i    e e    a   a e e \(l)a  a(l)a   a a a a a (l)a  a a\e  ca a   a a  a(l) a   (l)  e \e(l)   (l)  (L)  e (l)ee   (l)a e \(l)a  a(l)a    (l)   a (l)a  a(l)a de\ a a  E(l)     de  ia e  (L)i(l)a \ e e   a (l)a (l)i a   (l)a  i(l)a \ di  a ea a        (L)i(l)a \(L) (l)a   (L)i(l)a     a iga  de\ e   (L)a    a e  a  a(l)ada \  (l)a da   a e(l)      \   i  a ea e  e(l)  a e \Kika c  e ki i  E(l) ki i\ e a    ki(l)   A  e \a  e    dij  e(l) h  b e\a(l) b      E(l) fa  a  a\e  a e  (l)a f e  e  E(l)\fa  a  a a      a Fide(l) \A(l)e    ca e(l)  i(l) f    \ a a c     i a  a (l)a\ a a a  E  i  e   ie e\e(l)  a  e e de   e     e\ e  e de e  (l)a e   i a \ a e a  a c    ei  e\ e(l)a    e(l)  a    aci  \    a e(l)  i        e\dej  (l)a   a e e  e(l)\b (l) i     E(l)  a a e  \ ie e  a a i  a  a  (l)e  \ a (l)  iaj  a    a c  \   a  J (l)i    Jai e\j ega  c   e(l) c  ej  
M, (m)esa, #C72020, mesa.png, mesa.ogg, m.ogg, (M)i(m)i    e e   (m)a  (m)a e e \la  ala  (M)a(m)á a(m)a a la (m)a a\e  ca a   a a  al a   l  e \el   l  L  e lee   la e \la  ala    l   a la  ala de\ a a  El     de (m)ia e  Lila \ e e   a la li(m)a   la  ila \ di  a ea a        Lila \L la   Lila     a(m)iga  de\ e   La    a e  á  alada \  la da   a el      \  (m)i  a ea e  el  a e \Kika c (m)e ki i  El ki i\ e a    kil   A  e \a  e    dij  el h (m)b e\al b      El fa  a (m)a\e  á e  la f e  e  El\fa  a (m)a a      a Fidel \Ale    ca el  il f    \ a a c (m)   i a  a la\(m)a a a  E  i  e   ie e\el  a  e e de   e     e\ e  e de e  la e   i a \ a e a  a c    ei  e\ ela    el  a    aci  \    a el  i        e\dej  la   a e e  el\b l i     El  a a e  \ ie e  a a i  a  a  le  \ a l  iaj  a   (m)a c  \   a  J li    Jai(m)e\j ega  c   el c  ej  
N, (n)ube, #7A6BBD, nube.png, nube.ogg, n.ogg, Mimi    e e   ma(n) ma e e(n)\la  ala  Mamá ama a la ma a\e(n) ca a   a a  al a   l  e(n)\el   l  L  e lee   la e(n)\la  ala    l   a la  ala de\ a a  El     de mia e  Lila \ e e   a la lima   la  ila \ di  a ea a        Lila \L la   Lila   (n) amiga  de\ e   La    a e  á  alada \  la(n)da   a el      \  mi  a ea e(n) el  a e \Kika c me ki i  El ki i\ e a  (n) kil   A  e \a  e    dij  el h mb e\al b      El fa(n) a ma\e  á e(n) la f e(n) e  El\fa(n) a ma a      a Fidel \Ale    ca el  il f (n)  \ a a c m   i a  a la\ma a(n)a  E(n) i  e   ie e\el  a  e e de   e     e\ e  e(n)de e(n) la e   i(n)a \ a(n)e a  a c (n)  ei(n) e\ ela    el  a    aci  \    a el (n)i        e\dej  la   a e e(n) el\b l i     El  a a e  \ ie(n)e  a a i  a  a  le  \ a l  iaj  a   ma c (n)\   a  J li    Jaime\j ega(n) c (n) el c (n)ej  
Ñ, (ñ)andú, #80C040/#C93C7E, nandu.png, nandu.ogg, ny.ogg, Mimi    e e   man ma e en\la  ala  Mamá ama a la ma a\en ca a   a a  al a   l  en\el   l  L  e lee   la en\la  ala    l   a la  ala de\ a a  El     de mia e  Lila \ e e   a la lima   la  ila \ di  a ea a        Lila \L la   Lila   n amiga  de\ e   La    a e  á  alada \  landa   a el      \  mi  a ea en el  a e \Kika c me ki i  El ki i\ e a  n kil   A  e \a  e    dij  el h mb e\al b      El fan a ma\e  á en la f en e  El\fan a ma a      a Fidel \Ale    ca el  il f n  \(Ñ)a a c m   i(ñ)a  a la\ma(ñ)ana  En i  e   ie e\el  a  e e de   e     e\ e  ende en la e   ina \ ane a  a c n  ein e\ ela    el  a    aci  \    a el ni(ñ)       e\dej  la   a e en el\b l i     El  a a e  \ iene  a a i  a  a  le  \ a l  iaj  a   ma c n\   a  J li    Jaime\j egan c n el c nej  
O, (o)s(o), #A4221E, oso.png, oso.ogg, o.ogg, Mimi    e e  (o)man ma e en\la  ala  Mamá ama a la ma a\en ca a   a a  al a  (o)l(o) en\el  (o)l  L  e lee  (o)la en\la  ala   (o)l   a la  ala de\ a a  El (o) (o) de mia e  Lila \ e e   a la lima   la  ila \(O)di  a ea a    (o) (o) Lila \L la   Lila  (o)n amiga  de\ e(o)  La  (o) a e  á  alada \ (o)landa   a el  (o) (o) \  mi  a ea en el  a e \Kika c(o)me ki i  El ki i\ e a  n kil(o)  A  e \a  e    dij(o) el h(o)mb e\al b   (o)  El fan a ma\e  a en la f en e  El\fan a ma a    (ó) a Fidel \Ale   (o)ca el  il(ó)f(o)n(o) \Ña a c(o)m(o)  iña  a la\mañana  En i  e   ie e\el  a  e e de   e (o)   e\ e  ende en la e   ina \ ane a  a c(o)n  ein e\ ela    el  a (o)  aci(o) \  (o) a el niñ(o)  (o)   e\dej(ó) la   a e en el\b(o)l i  (o)  El  a a e (o)\ iene  a a i  a  a  le  \ a l  iaj(o) a  (o)ma c(o)n\ (o) a  J li(o)   Jaime\j egan c(o)n el c(o)nej(o) 
P, (p)ato, #A4221E, pato.png, pato.ogg, p.ogg, Mimi   (P)e(p)e  oman ma e en\la  ala  Mamá ama a la ma a\en ca a   a a  al a  olo en\el  ol  L (p)e lee  ola en\la  ala   ol   a la (p)ala de\(p)a(p)á  El o o de mia e  Lila \(P)e(p)e   a la lima   la (p)ila \Odi (p)a ea a    o o Lila \L la   Lila  on amiga  de\ eo  La  o(p)a e  á  alada \ olanda   a el  o o \  mi (p)a ea en el  a e \Kika come ki i  El ki i\(p)e a  n kilo  A  e \a  e    dijo el homb e\al b   o  El fan a ma\e  a en la f en e  El\fan a ma a    ó a Fidel \Ale   oca el  ilófono \Ña a como (p)iña  a la\mañana  En i  e   ie e\el (p)a  e e de   e o   e\ e  ende en la e   ina \ ane a  a con  ein e\ ela    el  a o  acio \  o a el niño (p)o   e\dejó la   a e en el\bol i  o  El  a(p)a e o\ iene  a(p)a i  a  a  le  \ a l  iajo a  oma con\ o a  J lio   Jaime\j egan con el conejo 
Q, (q)ueso, #FFC040, queso.png, queso.ogg, q.ogg, Mimi   Pepe  oman ma e en\la  ala  Mamá ama a la ma a\en ca a   a a  al a  olo en\el  ol  L pe lee  ola en\la  ala   ol   a la pala de\papá  El o o de mia e  Lila \Pepe   a la lima   la pila \Odi pa ea a    o o Lila \L la   Lila  on amiga  de\ eo  La  opa e  á  alada \ olanda   a el  o o \  mi pa ea en el  a e \Kika come ki i  El ki i\pe a  n kilo  A  e \a  e    dijo el homb e\al b   o  El fan a ma\e  á en la f en e  El\fan a ma a    ó a Fidel \Ale   oca el  ilófono \Ña a como piña  a la\mañana  En i(q) e (q) ie e\el pa(q) e e de (q) e o (q) e\ e  ende en la e (q) ina \ ane a  a con  ein e\ ela    el  a o  acio \  o a el niño po (q) e\dejó la   a e en el\bol i  o  El  apa e o\ iene  apa i  a  a  le  \ a l  iajo a  oma con\ o a  J lio   Jaime\j egan con el conejo 
R, (r)atón, #F08020, raton.png, raton.ogg, r.ogg, Mimi   Pepe  oman ma e en\la  ala  Mamá ama a la ma a\en ca a   a a  al a  olo en\el  ol  L pe lee  ola en\la  ala   ol   a la pala de\papá  El o o de mia e  Lila \Pepe   a la lima   la pila \Odi pa ea a    o o Lila \L la   Lila  on amiga  de\ eo  La  opa e  á  alada \ olanda   a el  o o \  mi pa ea en el  a e \Kika come ki i  El ki i\pe a  n kilo  A  e \a  e    dijo el homb(r)e\al b   o  El fan a ma\e  á en la f en e  El\fan a ma a    ó a Fidel \Ale   oca el  ilófono \Ña a como piña  a la\mañana  En(r)iq e q ie(r)e\el paq e e de q e o q e\ e  ende en la e q ina \ ane a  a con  ein e\ ela    el  a o  acio \  o(r)a el niño po(r)q e\dejó la   a e en el\bol i  o  El  apa e(r)o\ iene  apa i  a  a  le  \(R)a l  iajo a (R)oma con\(R)o a  J lio   Jaime\j egan con el conejo 
S, (s)apo, #7EC93C, sapo.png, sapo.ogg, s.ogg, Mimi   Pepe  oman ma e en\la (s)ala  Mamá ama(s)a la ma(s)a\en ca(s)a.  a a (s)al a (s)olo en\el (s)ol  L pe lee (s)ola en\la (s)ala  (S)ol  (s)a la pala de\papá  El o(s)o de mia e(s) Lila.\Pepe  (s)a la lima   la pila \Odi pa(s)ea a (s)  o(s)o Lila \L la   Lila (s)on amiga(s) de\ eo  La (s)opa e(s) á (s)alada.\ olanda  (s)a el  o o \  mi pa(s)ea en el  a e \Kika come ki i  El ki i\pe(s)a  n kilo  A  e \a  e    dijo el hombre\al b   o  El fan a(s)ma\e(s) á en la f en e  El\fan a(s)ma a(s) (s) ó a Fidel \Ale   oca el  ilófono \Ña a como piña(s) a la\mañana  Enriq e q iere\el paq e e de q e(s)o q e\(s)e  ende en la e(s)q ina \ ane(s)a  a con  ein e\ ela(s)   el  a(s)o  acio \  ora el niño porq e\dejó la   a e en el\bol(s)i  o  El  apa ero\ iene  apa i  a(s) a  le(s) \Ra l  iajó a Roma con\Ro(s)a  J lio   Jaime\j egan con el conejo 
